Id,degree,group
130582940,649,6
299300002,342,3
167335610,312,1
250621001,266,3
59753785,263,1
954995594371780608,244,5
263697071,222,1
1894688462,211,0
129596166,208,5
3345273221,191,1
4164910119,189,1
78573016,168,4
245811561,165,3
965249295728422912,162,3
20760565,156,5
415511788,155,3
244457277,151,1
808392722801430528,150,1
432472316,148,4
1208441448,148,1
238547567,147,2
470292454,145,0
3115089646,143,3
44003331,142,0
266672226,142,0
2492821183,134,5
118361672,133,2
1686433608,133,0
406468389,133,2
871505783040724992,132,1
216639700,130,4
113059166,128,0
925236980153241600,127,5
399421979,126,0
1944813044,126,0
108332472,125,3
3448424537,125,2
380936789,123,1
494192293,120,3
281102283,120,1
236654908,120,4
702859109,119,1
3288774521,118,5
917658392289832960,117,5
504763844,117,1
1035437066283311105,117,0
13955192,116,0
1351525075636334596,115,2
2921653967,115,3
4405192696,114,1
1192923082664620033,113,1
1019414035807252481,113,1
4796062241,113,5
217176854,113,4
421881152,112,1
1377508237,112,2
73724257,110,0
121194033,109,5
1029096231254089729,106,0
940292815438929921,105,5
17896683,105,1
1237713161249325057,105,5
1200040176980021249,103,5
3543404475,102,4
822876702,102,4
251991815,101,0
2318919882,99,1
1251092803,98,5
637285551,98,1
284606564,97,1
185663605,97,6
574581472,97,1
2645831366,96,0
88677198,95,3
2178533216,94,0
1327007952,94,4
806914910,94,6
516478373,88,0
314135200,87,5
1103975527323443200,86,1
916401257404911616,85,6
507989295,85,0
428308122,85,0
625877136,83,6
4876936924,83,1
84053338,83,0
14047971,83,4
2821348929,83,1
418898601,82,6
937663471289880576,82,3
3024173151,82,4
942513514316488705,81,2
914058116047802368,81,0
1170016721756938241,81,3
1322847133,80,3
2989208337,80,3
110515420,80,3
1111282427396268032,80,3
3129259899,80,3
267903431,79,0
1065579556508192769,79,6
2825319795,79,2
3512727555,77,3
550521499,76,3
706137904393953280,76,1
905756684,75,4
4328039002,75,3
1584068149,75,2
4213512189,75,1
1066277888,75,1
340363855,74,0
515780782,74,0
859782757,74,0
4841444607,73,5
